City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Foumban,5.73,10.9,65.68,67.24,82,1014,3.04,63
Changli,39.7,119.15,46.02,37.45,48,1018,7.78,63
Surovikino,48.61,42.85,42.93,33.64,91,1013,12.73,63
Sinnamary,5.38,-52.95,78.98,83.97,86,1008,8.95,63
Vao,-22.67,167.48,75.07,75.4,77,1014,10.69,63
Bambous Virieux,-20.34,57.76,68.02,71.13,88,1020,3.36,63
Torbay,47.67,-52.73,50.83,37.0,93,1020,24.16,63
Kudahuvadhoo,2.67,72.89,82.44,89.1,68,1009,2.44,63
Hithadhoo,-0.6,73.08,83.35,89.46,69,1009,4.65,63
Novyy Svit,47.81,38.02,45.77,34.75,72,1020,14.72,63
Grand-Santi,4.25,-54.38,76.53,85.23,91,1007,1.61,63
Nikolskoye,59.7,30.79,48.24,35.22,81,1012,20.13,63
Mataura,-46.19,168.86,59.9,54.57,44,1004,4.83,63
Glendive,47.11,-104.71,53.6,43.07,54,1007,13.87,63
Yellowknife,62.46,-114.35,12.06,3.54,85,1012,4.7,63
Muisne,0.6,-80.03,75.33,78.13,79,1009,7.11,63
Sambava,-14.27,50.17,73.26,75.49,87,1017,8.84,63
Albany,42.6,-73.97,65.16,60.33,45,1021,5.82,63
Nuuk,64.18,-51.72,21.0,5.22,92,985,18.99,63
Qaanaaq,77.48,-69.36,-6.47,-18.04,76,1014,8.66,63
Korla,41.76,86.15,35.49,29.48,70,1027,3.09,63
Jamestown,42.1,-79.24,64.4,57.54,45,1024,9.17,63
Vaini,-21.2,-175.2,77.0,81.16,78,1017,5.82,63
Saldanha,-33.01,17.94,59.0,59.31,93,1011,3.36,63
Fairbanks,64.84,-147.72,20.17,13.75,92,1015,2.24,63
Arraial do Cabo,-22.97,-42.03,70.57,71.53,88,1016,9.17,63
Hermanus,-34.42,19.23,55.0,52.3,90,1010,5.99,63
Castro,-24.79,-50.01,61.18,57.78,55,1015,3.91,63
Porto Velho,-8.76,-63.9,87.8,96.89,66,1005,2.24,63
Homer,59.64,-151.55,36.25,30.25,93,1025,4.97,63
Busselton,-33.65,115.33,54.73,46.71,62,1008,11.01,63
Haines Junction,60.75,-137.51,6.8,0.14,65,1024,0.45,63
Puerto Ayora,-0.74,-90.35,73.26,65.8,73,1013,21.92,63
Lompoc,34.64,-120.46,61.23,48.65,51,1008,19.46,63
Sitka,57.05,-135.33,37.4,34.07,93,1022,0.56,63
Mount Isa,-20.73,139.5,73.4,61.18,13,1016,12.75,63
Kaitangata,-46.28,169.85,62.01,55.92,50,1002,8.01,63
Banjar,-8.19,114.97,75.79,78.64,74,1012,5.86,63
Chui,-33.7,-53.46,62.98,59.38,84,1019,10.96,63
Ilulissat,69.22,-51.1,10.4,-7.96,39,1001,20.8,63
Tuktoyaktuk,69.45,-133.04,15.8,-1.55,85,999,20.8,63
Saskylakh,71.92,114.08,-0.8,-8.95,92,1018,3.11,63
Ghanzi,-21.57,21.78,79.0,73.38,17,1010,3.22,63
Souillac,-20.52,57.52,66.2,68.58,88,1020,3.36,63
Vila Franca do Campo,37.72,-25.43,62.6,57.47,63,1013,9.17,63
Airai,-8.93,125.41,62.78,62.46,73,1012,2.77,63
Ende,-8.84,121.66,78.91,86.77,78,1012,0.92,63
Stochov,50.15,13.96,34.92,30.11,74,1032,1.12,63
Daru,-9.08,143.21,80.94,86.13,73,1012,5.68,63
San-Pédro,4.75,-6.64,77.65,84.96,91,1015,5.21,63
Saint George,37.1,-113.58,81.5,64.89,15,1004,22.5,63
Chokurdakh,70.63,147.92,-0.56,-10.93,94,1015,7.07,63
Necochea,-38.55,-58.74,62.1,56.41,73,1018,11.95,63
Coyhaique,-45.58,-72.07,62.6,55.0,36,1019,8.05,63
Port Moresby,-9.44,147.18,80.6,90.28,83,1011,1.12,63
Tuatapere,-46.13,167.68,52.61,46.9,74,1004,7.9,63
Hualmay,-11.1,-77.61,65.82,63.34,72,1013,8.05,63
Upernavik,72.79,-56.15,0.1,-10.35,78,1010,7.05,63
Husavik,66.04,-17.34,39.2,27.55,41,1004,11.41,63
Anchorage,61.22,-149.9,22.48,14.09,85,1025,5.82,63
Kemijärvi,66.71,27.43,35.47,26.02,84,1004,10.22,63
Natitingou,10.3,1.38,75.2,75.96,60,1014,4.7,63
Alofi,-19.06,-169.92,80.6,79.84,61,1015,11.41,63
Karratha,-20.74,116.85,71.91,66.52,54,1012,11.95,63
Bilibino,68.05,166.44,11.37,0.34,90,999,9.22,63
Seoul,37.57,126.98,55.94,55.2,100,1017,4.61,63
Severo-Kuril'sk,50.68,156.12,35.15,26.67,83,1007,8.34,63
Chagoda,59.16,35.33,39.42,30.4,79,1009,10.04,63
Half Moon Bay,37.46,-122.43,58.05,50.47,62,1009,11.41,63
Honningsvåg,70.98,25.97,42.8,14.16,70,988,44.96,63
Batemans Bay,-35.72,150.18,57.38,56.79,81,946,1.99,63
Cherskiy,68.75,161.3,10.38,-3.42,95,1004,14.18,63
Flinders,-34.58,150.86,63.0,62.98,81,1015,4.0,63
Bredasdorp,-34.53,20.04,57.2,56.57,76,1010,1.12,63
Geraldton,-28.77,114.6,66.2,61.43,68,1011,11.41,63
Bethel,41.37,-73.41,64.83,57.69,42,1022,9.17,63
Rocha,-34.48,-54.33,63.27,59.52,81,1019,10.78,63
Marsh Harbour,26.54,-77.06,79.29,76.1,78,1014,20.87,63
Barrow,71.29,-156.79,24.8,15.03,73,992,8.05,63
Lavrentiya,65.58,-171.0,35.96,14.5,83,991,31.59,63
Narsaq,60.92,-46.05,26.6,20.64,86,994,2.24,63
Leningradskiy,69.38,178.42,28.51,17.65,98,989,11.95,63
Margate,51.38,1.39,51.33,46.85,65,1012,4.0,63
Utiel,39.57,-1.2,60.01,57.07,89,1019,8.99,63
Nanortalik,60.14,-45.24,34.56,21.09,87,997,17.34,63
Nueva Loja,0.08,-76.88,82.4,84.58,65,1007,9.17,63
Yulara,-25.24,130.99,68.0,58.41,20,1018,9.17,63
Telimele,10.92,-13.33,76.89,83.17,74,1014,0.63,63
Lebu,-37.62,-73.65,54.5,42.24,75,1016,20.42,63
Polyarny,69.2,33.45,32.0,26.58,84,993,2.24,63
Jipijapa,-1.33,-80.58,78.8,79.14,74,1008,12.75,63
Sandpoint,48.28,-116.55,43.3,32.25,70,1006,13.87,63
Vestmannaeyjar,63.44,-20.27,40.73,25.25,68,1011,20.87,63
Tiksi,71.69,128.87,0.37,-7.65,94,1017,3.0,63
Soyo,-6.13,12.37,78.24,82.69,87,1012,9.51,63
Kuril'sk,45.23,147.88,51.12,41.41,78,1009,14.97,63
New Norfolk,-42.78,147.06,48.15,43.34,60,1021,3.0,63
Thinadhoo,0.53,72.93,83.08,89.29,68,1009,3.83,63
Hofn,64.25,-15.21,37.87,30.72,73,1010,5.84,63
Kaeo,-35.1,173.78,68.0,72.0,93,1011,3.0,63
Inhambane,-23.86,35.38,78.3,78.15,73,1010,12.84,63
Angoche,-16.23,39.91,77.4,77.14,76,1012,13.31,63
Włocławek,52.65,19.07,50.0,46.29,98,1032,6.46,63
Yatou,37.15,122.38,50.09,43.61,51,1018,5.32,63
Gamba,-2.65,10.0,76.93,84.27,91,1013,4.41,63
Tabaquite,10.38,-61.3,82.69,87.04,74,1007,9.17,63
Majene,-3.54,118.97,78.69,86.02,77,1012,1.34,63
‘Āhuimanu,21.44,-157.84,82.78,85.14,65,1016,9.17,63
Mahébourg,-20.41,57.7,66.2,68.58,88,1020,3.36,63
Saint-Philippe,-21.36,55.77,66.87,66.74,73,1018,4.7,63
Beringovskiy,63.05,179.32,29.39,16.81,87,992,14.61,63
Watertown,42.37,-71.18,67.68,61.3,30,1019,5.82,63
Kruisfontein,-34.0,24.73,57.0,57.99,93,1011,1.01,63
Saint Anthony,45.02,-93.22,74.32,63.93,27,1011,13.87,63
Chingirlau,51.09,54.08,42.51,36.63,81,1006,5.55,63
Klaksvík,62.23,-6.59,44.6,31.62,100,1015,20.8,63
Pangnirtung,66.15,-65.71,17.6,8.46,67,1004,5.82,63
Price,39.6,-110.81,57.2,49.57,30,1013,5.82,63
Khatanga,71.97,102.5,-5.91,-15.83,91,1019,5.91,63
Kalmunai,7.42,81.82,78.96,85.66,82,1010,4.47,63
Broome,42.25,-75.83,60.87,53.67,42,1023,8.05,63
Sabang,5.89,95.32,81.03,88.07,77,1010,4.0,63
Xining,36.62,101.77,30.09,25.25,79,1030,0.54,63
Nara,34.69,135.8,59.36,58.15,77,1019,3.36,63
Assiut,27.18,31.18,64.4,57.24,59,1017,12.75,63
Yuanping,38.72,112.76,38.53,31.75,63,1026,4.52,63
Katherine,-14.47,132.27,80.6,84.38,61,1011,3.36,63
Presidencia Roque Sáenz Peña,-26.79,-60.44,79.5,75.45,33,1008,6.35,63
Maragogi,-9.01,-35.22,78.12,82.72,85,1013,8.41,63
Krasnosel'kup,65.7,82.47,30.16,18.81,99,1004,13.31,63
Kudat,6.88,116.85,75.11,83.21,94,1011,2.24,63
Foz,43.57,-7.25,54.64,53.26,100,1009,5.01,63
Saint-Pierre,-21.34,55.48,65.25,64.6,73,1018,4.7,63
Loukhi,66.08,33.04,39.49,28.17,74,999,13.73,63
Ibotirama,-12.19,-43.22,74.52,81.81,86,1013,0.65,63
Clyde River,70.47,-68.59,5.0,-13.68,77,1011,21.92,63
Carnarvon,-24.87,113.63,69.8,67.64,100,1011,17.22,63
Cidreira,-30.18,-50.21,67.41,63.28,82,1017,14.29,63
Wau,7.7,28.0,76.14,79.99,74,1010,4.32,63
Hong Kong,22.29,114.16,76.08,73.47,58,1014,10.6,63
Yuncheng,35.02,110.99,47.86,41.81,50,1027,3.94,63
Krasnokamensk,50.1,118.04,17.04,3.42,92,1010,14.56,63
Baoro,5.67,15.97,70.95,73.67,72,1013,1.99,63
Mar del Plata,-38.0,-57.56,63.61,58.39,77,1019,12.75,63
Avera,33.19,-82.53,72.93,69.13,60,1022,11.41,63
Lagoa,39.05,-27.98,60.39,46.36,82,1014,27.56,63
Tanza,14.68,120.94,78.91,88.66,88,1011,1.12,63
Dolores,-36.31,-57.68,63.75,60.73,73,1018,8.1,63
Vanavara,60.34,102.28,-4.13,-12.77,91,1027,3.76,63
Artvin Province,41.17,41.83,59.0,54.28,82,1022,10.29,63
Okhotsk,59.38,143.3,6.51,-10.3,89,1003,18.99,63
Talnakh,69.49,88.4,8.6,-6.47,71,1008,15.66,63
Nhulunbuy,-12.23,136.77,80.6,87.22,78,1011,4.7,63
Corcoran,36.1,-119.56,67.46,54.97,37,1006,18.34,63
Sola,-13.88,167.55,80.6,86.61,94,1012,11.79,63
Mossamedes,-15.2,12.15,72.75,68.58,54,1013,10.25,63
Auki,-8.77,160.7,84.4,91.45,66,1013,2.64,63
Chunskiy,56.08,99.63,13.35,6.22,96,1028,2.68,63
Mumford,5.26,-0.76,79.38,84.13,90,1013,11.21,63
Shenjiamen,29.96,122.3,66.18,61.21,78,1021,14.05,63
Kajaani,64.23,27.73,44.6,29.21,70,1006,21.92,63
Şarkîkaraağaç,38.08,31.37,43.97,38.93,81,1022,4.5,63
Valle de Allende,26.93,-105.4,73.71,63.09,19,1012,11.74,63
Mollendo,-17.02,-72.01,63.64,63.16,74,1012,3.74,63
Orsha,54.52,30.41,43.7,35.19,92,1022,11.7,63
Ixtapa,20.7,-105.2,84.09,87.01,62,1007,8.05,63
Balabanovo,55.18,36.66,41.0,30.61,80,1013,13.0,63
Havre-St-Pierre,50.23,-63.6,33.8,27.86,100,1011,4.7,63
Maniitsoq,65.42,-52.9,22.93,12.88,74,989,8.32,63
Omsukchan,62.53,155.8,1.17,-7.62,90,1002,4.34,63
Nova Olímpia,-14.8,-57.29,87.26,87.3,37,1005,4.32,63
Dickinson,29.46,-95.05,75.07,75.31,53,1017,3.36,63
Antofagasta,-23.65,-70.4,62.6,54.59,72,1010,16.11,63
Bairiki Village,1.33,172.98,84.2,87.8,70,1011,10.29,63
Gaza,31.5,34.47,63.86,65.25,82,1014,2.24,63
Caravelas,-17.71,-39.25,75.09,77.29,81,1014,8.63,63
Oussouye,12.48,-16.55,81.48,90.75,88,1013,4.7,63
Khasan,42.43,130.64,50.56,43.41,64,1011,8.37,63
Rome,43.21,-75.46,61.11,54.9,45,1021,6.93,63
Zheleznodorozhnyy,55.75,38.0,50.72,39.94,70,1011,15.66,63
Katsuura,35.13,140.3,57.2,54.09,71,1018,4.7,63
Namatanai,-3.67,152.43,82.51,87.89,77,1012,8.37,63
Makkah al Mukarramah,21.43,39.83,76.17,77.86,59,1012,3.33,63
Umm Kaddadah,13.6,26.69,74.3,62.4,21,1014,14.72,63
Abadan,38.05,58.21,53.6,46.58,34,1011,4.7,63
Monrovia,6.3,-10.8,78.8,85.15,94,1014,9.15,63
Sorong,-0.88,131.25,78.44,82.81,88,1010,10.18,63
Aksu,41.12,80.26,35.64,30.72,69,1029,1.07,63
Lorengau,-2.02,147.27,82.99,88.32,77,1011,8.95,63
Mount Gambier,-37.83,140.77,50.0,46.49,87,1027,4.7,63
Makakilo City,21.35,-158.09,84.61,89.37,66,1017,6.93,63
Dolisie,-4.2,12.67,73.92,81.07,91,1012,1.9,63
Mayo,38.89,-76.51,62.56,60.85,82,1024,6.93,63
Champotón,19.35,-90.72,80.6,86.81,94,1007,11.41,63
Maan,5.93,124.74,79.61,87.39,77,1009,1.36,63
Faanui,-16.48,-151.75,79.93,77.58,80,1015,20.76,63
Maceió,-9.67,-35.74,77.0,84.79,94,1014,4.7,63
Provideniya,64.38,-173.3,35.73,15.37,83,993,29.55,63
Henties Bay,-22.12,14.28,61.0,62.55,91,1018,1.99,63
Barra Patuca,15.8,-84.28,77.65,83.98,94,1003,7.94,63
Ca Mau,9.18,105.15,74.48,83.14,94,1010,0.65,63
Dauriya,49.93,116.87,16.23,2.88,92,1011,13.98,63
Ponta Delgada,37.73,-25.67,62.6,57.47,63,1013,9.17,63
Fort Nelson,58.81,-122.7,5.0,-6.41,84,1013,9.17,63
Iqaluit,63.75,-68.51,6.8,-14.94,77,1008,27.51,63
Bourail,-21.57,165.48,81.3,84.6,54,1015,2.08,63
General Roca,-39.03,-67.58,80.6,73.51,19,1015,6.93,63
Boden,65.83,21.69,42.8,36.21,70,1009,5.82,63
Kiryat Gat,31.61,34.76,60.96,58.66,72,1015,5.17,63
Laguna,38.42,-121.42,65.07,56.71,27,1006,8.05,63
Kavieng,-2.57,150.8,84.09,87.91,75,1011,11.92,63
Udachny,66.42,112.4,1.4,-7.46,91,1014,4.47,63
Bensonville,6.45,-10.61,78.8,88.0,94,1014,4.12,63
Basco,20.45,121.97,80.62,85.26,82,1014,9.73,63
Wuda,39.5,106.71,39.42,27.37,59,1029,13.69,63
Safford,32.83,-109.71,81.01,69.42,13,1011,12.75,63
Great Bend,38.36,-98.76,74.52,62.92,38,1015,19.46,63
Fort-Shevchenko,44.51,50.26,53.64,43.41,69,1013,15.57,63
Fortuna,40.6,-124.16,54.93,47.07,66,1007,11.41,63
Yeppoon,-23.13,150.73,73.4,71.92,73,1016,11.41,63
Evensk,61.95,159.23,12.27,3.0,90,998,6.17,63
Ucar,40.52,47.65,59.9,56.61,93,1014,10.29,63
Ginda,30.69,78.49,47.21,39.74,43,1021,5.48,63
Douentza,15.0,-2.95,83.91,75.63,15,1014,8.16,63
Kamsack,51.57,-101.9,33.8,26.83,74,1013,4.7,63
Kibala,9.11,18.35,78.8,85.01,69,1013,0.58,63
Mangochi,-14.48,35.26,78.69,80.04,46,1012,1.01,63
Marsabit,2.33,37.99,66.72,65.25,88,1011,10.54,63
Hamilton,39.18,-84.53,67.89,63.57,40,1025,4.7,63
Takapau,-40.03,176.35,65.41,68.16,86,1007,1.68,63
Cachipay,5.27,-74.57,79.07,87.12,80,1009,1.45,63
Waipawa,-41.41,175.52,61.52,53.71,88,1007,18.34,63
Spornoye,50.84,37.29,43.21,33.35,87,1018,13.42,63
Nagua,19.38,-69.85,82.4,89.87,83,1009,6.93,63
Narsīpatnam,17.67,82.62,78.8,86.86,83,1014,2.24,63
Lalín,42.72,-8.12,54.19,51.62,93,1009,5.82,63
Muros,42.78,-9.06,54.25,51.69,93,1009,5.82,63
Praia da Vitória,38.73,-27.07,60.03,54.05,93,1013,15.14,63
Amapá,1.0,-52.0,74.7,81.5,94,1008,4.14,63
Bali,-8.5,115.0,74.41,79.36,83,1012,3.78,63
The Valley,18.22,-63.06,82.02,84.0,74,1010,12.75,63
Port Blair,11.67,92.75,80.6,86.65,81,1010,6.85,63
Kavaratti,10.57,72.64,82.42,88.72,75,1010,5.84,63
Longyearbyen,78.22,15.64,32.0,20.43,95,983,13.87,63
Tadine,-21.55,167.88,79.63,83.98,73,1014,5.99,63
Comodoro Rivadavia,-45.87,-67.5,57.2,46.67,54,1023,14.99,63
Pontes e Lacerda,-15.23,-59.34,88.77,85.33,21,1004,3.56,63
Dubrovka,53.69,33.51,40.42,32.32,85,1020,9.24,63
Cochrane,51.18,-114.47,37.11,26.55,69,1011,11.41,63
Srednekolymsk,67.45,153.68,0.09,-11.36,93,1010,9.01,63
Raudeberg,61.99,5.14,50.0,35.28,88,1022,24.74,63
Adrar,20.5,-10.07,85.42,81.09,22,1015,4.54,63
Faya,18.39,42.45,59.0,54.95,76,1024,8.05,63
Zaykovo,57.56,62.76,39.69,34.16,89,1002,4.79,63
Carballo,43.21,-8.69,54.9,55.17,93,1008,1.12,63
Cabo San Lucas,22.89,-109.91,83.95,87.82,69,1010,9.17,63
Codrington,-38.27,141.97,51.21,43.84,69,1028,9.62,63
Portland,45.52,-122.68,48.25,42.24,93,1009,9.17,63
Sioux Lookout,50.1,-91.92,41.0,36.05,80,1011,3.36,63
Boda,4.32,17.47,71.73,78.39,92,1013,1.1,63
Batamshinskiy,50.56,58.27,41.0,31.64,80,1007,11.18,63
Qandala,11.47,49.87,76.66,76.96,57,1014,5.46,63
Puri,19.8,85.85,73.4,75.78,83,1014,7.52,63
Sibu,2.3,111.82,73.15,80.2,94,1010,2.24,63
Bathsheba,13.22,-59.52,82.4,83.59,78,1009,16.11,63
Myrtle Beach,33.69,-78.89,71.89,74.07,88,1023,8.05,63
Qasigiannguit,68.82,-51.19,10.4,-7.96,39,1001,20.8,63
Steinbach am Taunus,50.17,8.57,39.65,32.47,80,1029,6.93,63
Manokwari,-0.87,134.08,82.02,88.12,73,1010,5.03,63
Novoagansk,61.94,76.66,34.36,25.9,97,1007,9.1,63
San Rafael,-34.62,-68.33,81.16,73.33,21,1011,9.15,63
San Jose de Guanipa,8.89,-64.17,83.16,87.58,63,1006,5.01,63
Khanpur,28.65,70.66,64.78,59.11,29,1016,3.67,63
Ucluelet,48.93,-125.55,50.63,43.47,53,1013,6.93,63
Okha,53.57,142.95,27.79,17.69,91,1005,10.09,63
Fort Saint James,54.43,-124.25,36.25,30.58,75,1014,3.02,63
Dalby,-27.18,151.27,66.2,61.95,72,1019,11.41,63
Fergus Falls,46.28,-96.08,71.17,66.42,33,1006,4.7,63
Mezen',65.85,44.24,36.45,30.06,96,992,5.95,63
Luís Correia,-2.88,-41.67,82.4,84.22,78,1008,14.99,63
Kiama,-34.68,150.87,61.68,61.23,81,1015,4.0,63
Salinópolis,-0.61,-47.36,81.28,85.23,77,1009,9.73,63
Heraclea,37.51,34.05,48.9,44.56,64,1019,2.86,63
Raja,8.46,25.68,75.15,75.38,45,1011,0.89,63
Kralendijk,12.15,-68.27,86.0,89.96,70,1006,11.41,63
Heihe,50.24,127.49,24.8,18.82,92,1006,2.24,63
Lüderitz,-26.65,15.16,59.61,57.76,80,1016,5.19,63
Lima,-12.04,-77.03,67.5,63.12,68,1011,11.41,63
Tromsø,69.65,18.96,41.29,23.52,70,998,25.28,63
Coacoyul,17.81,-99.11,88.0,88.86,34,1006,1.83,63
Batagay-Alyta,67.8,130.41,-15.05,-22.65,85,1019,1.34,63
Beloha,-25.17,45.05,68.77,69.64,67,1014,2.59,63
Walvis Bay,-22.96,14.51,59.92,60.55,87,1017,2.24,63
Nelson Bay,-32.72,152.15,62.35,60.01,77,1019,6.93,63
Viedma,-40.81,-63.0,60.01,58.39,64,1022,1.99,63
Nyurba,63.28,118.33,-2.0,-11.47,90,1019,5.35,63
Mehamn,71.04,27.85,41.0,19.17,80,987,33.33,63
Wilmington,34.23,-77.94,71.4,71.02,73,1024,8.05,63
Carutapera,-1.2,-46.02,80.47,85.23,76,1010,7.16,63
Sohbatpur,28.52,68.54,62.69,58.37,29,1018,0.81,63
La Libertad,-2.23,-80.9,73.4,73.18,73,1009,9.17,63
Río Gallegos,-51.62,-69.22,57.2,40.84,47,1013,24.16,63
Gijang,35.24,129.21,57.2,53.98,62,1017,3.36,63
Altamira,-3.2,-52.21,82.4,91.4,78,1009,2.24,63
Itoman,26.12,127.67,74.55,83.39,100,1017,2.24,63
Columbus,39.96,-83.0,69.39,62.83,40,1024,9.17,63
Littlehampton,50.81,-0.54,46.58,44.51,89,1022,1.01,63
Den Helder,52.96,4.76,47.5,40.91,87,1027,9.17,63
Tottori-shi,35.5,134.23,60.8,59.7,87,1017,5.82,63
Ancud,-41.87,-73.82,55.99,49.24,55,1021,8.05,63
Itārsi,22.62,77.75,60.78,56.21,44,1017,3.76,63
Alice Springs,-23.7,133.88,69.8,60.13,14,1020,8.05,63
Tete,-16.16,33.59,89.29,85.64,29,1009,8.05,63
Estelle,29.85,-90.11,73.22,71.67,73,1017,11.41,63
Isangel,-19.55,169.27,82.4,91.83,78,1014,1.45,63
Sainte-Maxime,43.3,6.63,54.25,49.57,93,1028,9.57,63
Beïnamar,8.67,15.38,76.6,73.4,33,1012,3.76,63
Cap Malheureux,-19.98,57.61,70.0,72.81,75,1020,1.99,63
High Level,58.52,-117.14,12.2,3.49,72,1014,4.7,63
Wamba,8.93,8.6,75.54,73.63,40,1012,3.29,63
Nushki,29.55,66.02,51.78,46.49,46,1020,2.95,63
Kanbe,16.71,96.0,75.81,81.46,87,1011,5.03,63
Tigil',57.8,158.67,27.34,18.77,96,998,7.54,63
Aklavik,68.22,-135.01,15.8,8.28,85,1001,3.36,63
Hūn,29.13,15.95,57.69,55.96,86,1024,5.01,63
Bongaree,-27.08,153.16,71.67,68.02,37,1018,4.0,63
Bako,5.78,36.57,64.27,65.32,84,1013,3.53,63
Kostino,58.91,53.27,35.73,30.65,97,997,3.49,63
Pacasmayo,-7.4,-79.57,65.5,60.24,72,1011,12.8,63
Aguié,13.51,7.78,78.15,69.62,18,1014,8.59,63
Cuamba,-14.8,36.54,75.94,71.38,28,1013,4.29,63
George Town,5.41,100.34,78.4,86.61,88,1010,3.36,63
Baiyin,36.56,104.21,29.17,20.19,62,1031,6.71,63
Vardø,70.37,31.11,35.6,15.12,86,989,29.97,63
Borba,-4.39,-59.59,80.15,88.3,80,1006,2.28,63
Boo,59.33,18.28,48.09,45.3,93,1023,3.36,63
Bemidji,47.47,-94.88,61.92,56.79,42,1007,4.7,63
Karpathos,35.51,27.21,69.8,66.94,56,1016,6.93,63
Villamontes,-21.25,-63.5,94.6,91.04,19,1005,4.63,63
Sungai Penuh,-2.08,101.38,65.59,68.97,93,1011,2.26,63
Los Llanos de Aridane,28.66,-17.92,69.8,67.5,64,1017,8.05,63
Rosarito,32.33,-117.03,72.19,69.57,57,1007,8.05,63
Città di Castello,43.47,12.23,46.24,41.43,76,1030,4.29,63
Kwidzyn,53.72,18.93,50.0,44.76,89,1031,8.01,63
Gobabis,-22.45,18.97,76.75,68.76,19,1012,7.67,63
College,64.86,-147.8,20.17,10.15,85,1015,8.37,63
Lowestoft,52.48,1.75,50.63,48.15,86,1022,3.0,63
Muskegon,43.3,-86.13,60.73,54.9,55,1020,8.05,63
Moose Factory,51.26,-80.61,34.68,26.42,86,1010,8.05,63
Mitú,1.2,-70.17,78.94,88.88,89,1006,1.19,63
Christchurch,-43.53,172.63,62.08,59.65,77,1003,6.93,63
Gizo Government Station,-8.1,156.84,83.98,89.15,71,1012,7.72,63
Mogadishu,2.04,45.34,79.66,85.23,83,1012,7.52,63
Santo Antônio da Platina,-23.3,-50.08,72.01,67.98,40,1012,5.66,63
Kupang,-10.17,123.58,80.62,86.09,74,1012,5.26,63
Nemuro,43.32,145.57,56.21,44.02,73,1012,20.71,63
Ambilobe,-13.2,49.05,72.18,75.34,80,1015,4.27,63
San Patricio,28.02,-97.52,78.55,75.42,57,1016,12.75,63
Hirara,24.8,125.28,77.0,85.91,100,1016,4.7,63
Jardim,-21.48,-56.14,81.1,79.9,34,1006,2.3,63
